Name,Goals,Assists,Matches,Position
Messi,30,12,25,Forward
Ronaldo,28,5,24,Forward
Mbappe,22,10,23,Winger
Haaland,35,4,26,Forward
Salah,18,11,22,Winger
Neymar,20,14,21,Winger
Kane,27,6,25,Forward
Vinicius,19,13,24,Winger
Lewandowski,31,4,26,Forward
Saka,16,12,23,Winger
Son,21,9,24,Winger
Osimhen,26,5,25,Forward
Griezmann,17,10,24,Forward
Rodrygo,18,8,23,Winger
Rashford,24,7,25,Forward
Dembele,14,15,24,Winger
Foden,20,11,26,Winger
Alvarez,23,6,24,Forward
Martinez,25,4,24,Forward
Diaz,15,9,23,Winger
Kvaratskhelia,19,12,25,Winger
Isak,22,5,24,Forward
Watkins,20,8,25,Forward
Chiesa,13,10,22,Winger
Gakpo,17,7,23,Winger
Sterling,12,8,24,Winger
Joao Felix,14,6,22,Forward
Nkunku,18,9,23,Forward
Leao,21,10,25,Winger
Malen,16,5,24,Forward
Sancho,11,9,23,Winger
Diaby,15,11,24,Winger
Zaha,14,7,22,Winger
Richarlison,19,4,23,Forward
Morata,20,5,24,Forward
Dybala,18,10,23,Forward
Mudryk,10,8,22,Winger
Coman,13,11,24,Winger
Mahrez,17,12,25,Winger
Depay,16,6,23,Forward
Thuram,22,7,25,Forward
Lookman,18,9,24,Winger
Giroud,19,4,24,Forward
Mitoma,14,13,24,Winger
Bellingham,15,10,25,Forward
Pulisic,13,8,23,Winger
David,24,5,24,Forward
Adeyemi,17,6,23,Winger
Pedro Neto,12,11,22,Winger
Vlahovic,26,3,24,Forward
